id,rgb_gt,ir_gt,class_id,iou,center_shift_norm,center_shift_over_rgb_sqrt_area,dx_norm,dy_norm,rgb_hit,ir_hit,rgb_pred_iou,ir_pred_iou,rgb_wrong_class_overlap,ir_wrong_class_overlap,ir_minus_rgb_loc_iou,rgb_luminance
120089,2,2,0,1.0,0.0,0.0,0.0,0.0,False,True,0.29261242645054486,0.53458925284028,False,False,0.24197682638973517,20.54583740234375
120111,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7156974431115608,False,False,0.7156974431115608,21.022626876831055
120111,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8279953214224782,0.8753569306032615,False,False,0.04736160918078325,21.022626876831055
120111,2,2,0,1.0,0.0,0.0,0.0,0.0,False,True,0.37102576353006433,0.5970326340695644,False,False,0.22600687053950008,21.022626876831055
120111,3,3,0,1.0,0.0,0.0,0.0,0.0,False,True,0.36304129937670476,0.699770876881685,False,False,0.3367295775049803,21.022626876831055
120114,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5554532129086072,0.7638566509968105,False,False,0.20840343808820339,21.223281860351562
120114,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6092655118791046,0.8505233452440382,False,False,0.24125783336493356,21.223281860351562
120133,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.48497885758021275,0.796300728333653,False,False,0.3113218707534402,20.59174156188965
120133,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.735055453925972,0.8311529087422299,False,False,0.09609745481625787,20.59174156188965
120139,0,0,0,1.0,0.0,0.0,0.0,0.0,False,True,0.2804408201822778,0.6976909474910568,False,False,0.417250127308779,21.29354476928711
120139,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.36161725539592,0.8443552611537415,False,False,0.4827380057578215,21.29354476928711
120151,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7957760870721485,0.8786472581661513,False,False,0.08287117109400277,20.659626007080078
120151,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8221451620017216,0.7785052756800473,False,False,-0.04363988632167426,20.659626007080078
120151,2,2,0,1.0,0.0,0.0,0.0,0.0,False,True,0.00656691927380375,0.9106623407849925,False,False,0.9040954215111888,20.659626007080078
120151,3,3,0,1.0,0.0,0.0,0.0,0.0,False,True,0.4461387394724106,0.8648356239710806,False,False,0.41869688449867,20.659626007080078
