row,object_id,split,class,source_group,support,paired,reference_candidate,native_gt_ce,teacher_gt_ce,native_minus_teacher_gt_ce,kl_T2,gradient_cosine
121,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020179.jpg::gt:0,train,0,02,True,True,True,0.6813047962323058,0.7643121024625352,-0.0830073062302295,0.05378555876322237,-0.7543955774601707
122,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020179.jpg::gt:1,train,0,02,True,True,True,0.6483131959363939,0.6751080293370678,-0.026794833400673956,0.12296873136612296,0.4353048296894452
127,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020189.jpg::gt:0,train,0,02,True,True,True,0.5672315994580716,0.5999410842252874,-0.03270948476721572,0.1514579374757712,0.01693306136810491
132,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020198.jpg::gt:0,train,0,02,True,True,True,0.5314526493272058,0.5551242563623631,-0.02367160703515729,0.07866638029051665,-0.22603789585581757
137,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020208.jpg::gt:0,train,0,02,True,True,True,0.6722273460773948,0.6628138146722923,0.009413531405102427,0.031187559675549835,0.8077543316066911
142,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020217.jpg::gt:0,train,0,02,True,True,True,0.6252301482867402,0.6578699176690075,-0.0326397693822674,0.05622555948108621,0.1450620051682941
143,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020217.jpg::gt:1,train,0,02,True,True,True,0.7308456634549442,0.7035242289971312,0.027321434457812904,0.017203298516968432,0.6492472756938531
148,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020226.jpg::gt:0,train,0,02,True,True,True,0.5744015991327379,0.5725542442655922,0.001847354867145698,0.10134772911882321,0.14937698272992783
149,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020226.jpg::gt:1,train,0,02,True,True,True,0.5138816394319055,0.476177933290464,0.0377037061414414,0.06535142597644022,0.6854543217650102
154,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020236.jpg::gt:0,train,0,02,True,True,True,0.6382704290526903,0.6038410565874024,0.03442937246528785,0.06107102462341886,0.6364490746420222
155,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020236.jpg::gt:1,train,0,02,True,True,True,0.6518853132810036,0.6312288942922756,0.02065641898872808,0.08885361283048074,0.579070127386567
156,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020236.jpg::gt:2,train,0,02,True,True,True,0.9036563794615933,0.5414823839573853,0.3621739955042078,0.7307629396491325,0.8217733333730731
157,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020236.jpg::gt:3,train,0,02,True,True,True,0.5647786523698123,0.7284460662725736,-0.1636674139027613,0.2096921866365593,-0.37230621488493987
158,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020236.jpg::gt:4,train,0,02,True,True,True,0.8114736014100601,0.6881739560102484,0.1232996453998118,0.24711629935122714,0.700160113563825
159,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020236.jpg::gt:5,train,0,02,True,True,True,0.6175774904026021,0.6119137898341289,0.005663700568473332,0.0921697425304261,0.5199647901935358
164,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020245.jpg::gt:0,train,0,02,True,True,True,0.5996105435887917,0.5777437252405626,0.02186681834822915,0.13128493815911385,0.500232573269749
169,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020255.jpg::gt:0,train,0,02,True,True,True,0.5149913366580284,0.5433995934152673,-0.028408256757238876,0.12131183333134732,0.09145149996272128
170,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020255.jpg::gt:1,train,0,02,True,True,True,0.7144315386292583,0.6970113713290957,0.017420167300162603,0.16055072375544313,0.3334501986119047
171,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020255.jpg::gt:2,train,0,02,True,True,True,0.5959139958832342,0.5075639256484397,0.08835007023479463,0.12982375943749266,0.8912693121391005
172,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020255.jpg::gt:3,train,0,02,True,True,True,0.6646498447545954,0.6707277252672473,-0.006077880512651845,0.17793157495788176,0.46119518643118135
177,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020264.jpg::gt:0,train,0,02,True,True,True,0.6186714307260397,0.655076473112391,-0.03640504238635127,0.15727693336524448,0.48355454035294376
182,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020274.jpg::gt:0,train,0,02,True,True,True,0.6417421595306623,0.7050055511230117,-0.06326339159234926,0.30753642528170855,0.6614922908066537
187,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020283.jpg::gt:0,train,0,02,True,True,True,0.6156084615492381,0.6175098785704539,-0.0019014170212158649,0.034251371102198155,-0.05299426738025852
188,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020283.jpg::gt:1,train,0,02,True,True,True,0.587988180075466,0.5676418942679512,0.020346285807514825,0.026351305063634072,0.670165343562592
193,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020292.jpg::gt:0,train,0,02,True,True,True,0.5920441257131217,0.46760114710331413,0.12444297860980758,0.19616728716241733,0.5859665324217108
198,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020302.jpg::gt:0,train,0,02,True,True,True,0.7245936366146595,0.6418133251903944,0.08278031142426517,0.04833087982896544,0.8096248773375462
203,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020311.jpg::gt:0,train,0,02,True,True,True,0.5953010896392672,0.5360917905954978,0.0592092990437694,0.09717337041353204,0.8126657933094994
204,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020311.jpg::gt:1,train,0,02,True,True,True,0.6379748547792228,0.5577108411702751,0.08026401360894761,0.20492601693745363,0.6160635173111635
205,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020311.jpg::gt:2,train,0,02,True,True,True,0.6330972327021447,0.616266337334231,0.01683089536791378,0.1958281336934663,0.19833204110849464
210,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020321.jpg::gt:0,train,0,02,True,True,True,0.7771326655579216,0.6477453227249748,0.12938734283294684,0.2989916060221911,0.8435486848187075
211,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020321.jpg::gt:1,train,0,02,True,True,True,0.6007345185241791,0.704706465042815,-0.10397194651863573,0.1989915218745233,-0.07196514944203555
216,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020330.jpg::gt:0,train,0,02,True,True,True,0.5736713428429338,0.8088291435612441,-0.23515780071831033,0.4167508033919956,0.05315835894793662
221,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020339.jpg::gt:0,train,0,02,True,True,True,0.5088663097922981,0.5117493184236019,-0.002883008631303946,0.09331477377734583,0.061585308829850714
222,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020339.jpg::gt:1,train,0,02,True,True,True,0.7915799062828763,0.6806864536829546,0.11089345259992173,0.20339706686672412,0.8282086570200599
227,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020349.jpg::gt:0,train,0,02,True,True,True,0.6195280502159319,0.5888711285341889,0.030656921681743096,0.18307271073145426,0.44991929668670955
228,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020349.jpg::gt:1,train,0,02,True,True,True,0.573289277941133,0.6054177804867861,-0.032128502545653,0.06496488608820195,0.1268239112377933
229,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020349.jpg::gt:2,train,0,02,True,True,True,1.2598644029088195,0.8577721791489594,0.40209222375986026,0.3581110652552455,0.69772532316644
230,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020349.jpg::gt:3,train,0,02,True,True,True,0.6516369175974572,0.6273267627947914,0.024310154802665795,0.2398630209130249,0.2541527242557612
231,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020349.jpg::gt:4,train,0,02,True,True,True,0.6634605419716054,0.7541208849312366,-0.09066034295963118,0.19896100490908458,-0.0025374474304437644
236,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020358.jpg::gt:0,train,0,02,True,True,True,0.6406374818994349,0.7374132852150751,-0.09677580331564026,0.1623843645789246,-0.2359471387298501
237,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020358.jpg::gt:1,train,0,02,True,True,True,0.47386590488949676,0.5580971360116712,-0.08423123112217437,0.0660270054568856,-0.7348496471537629
238,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020358.jpg::gt:2,train,0,02,True,True,True,0.5558038793114881,0.7013287004978086,-0.1455248211863206,0.6814408940760599,-0.14983615621036922
239,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020358.jpg::gt:3,train,0,02,True,True,True,0.5878456531686493,0.5890395964973023,-0.0011939433286529688,0.06677036755256495,0.08142150796026862
244,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020368.jpg::gt:0,train,0,02,True,True,True,0.6570109015128217,0.6453238274154374,0.011687074097384398,0.04271911162299658,0.29507897476541717
245,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020368.jpg::gt:1,train,0,02,True,True,True,0.6681413735671211,0.6602994607010246,0.007841912866096451,0.0647778492680222,0.25115306676544896
250,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020377.jpg::gt:0,train,0,02,True,True,True,0.6731999765633112,0.7038823671370473,-0.03068239057373609,0.06467682805155572,-0.16507328383250677
251,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020377.jpg::gt:1,train,0,02,True,True,True,0.4317422368278039,0.41537026552986406,0.01637197129793984,0.04860667617279578,0.301018205579081
256,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020387.jpg::gt:0,train,0,02,True,True,True,0.6992348897146781,0.6096700761330283,0.0895648135816498,0.1401403781667371,0.6232828378654085
261,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020396.jpg::gt:0,train,0,02,True,True,True,0.5671018891205785,0.5096069034642258,0.05749498565635276,0.3936882973494409,0.7274720249303076
262,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020396.jpg::gt:1,train,0,02,True,True,True,0.5811889388191087,0.5715515163021645,0.00963742251694423,0.08043879144826457,0.627664972007377
263,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020396.jpg::gt:2,train,0,02,True,True,True,0.45861425161920877,0.4467244654052429,0.011889786213965935,0.06634699351548962,0.3979549440728564
264,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020396.jpg::gt:3,train,0,02,True,True,True,0.5367777651967628,0.5611654040907387,-0.024387638893975938,0.11180154084309327,0.07008418748903603
269,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020405.jpg::gt:0,train,0,02,True,True,True,0.5991648160512262,0.7043497567703962,-0.10518494071917003,0.16799166831387188,-0.0007447180623671674
274,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020415.jpg::gt:0,train,0,02,True,True,True,0.5378281477475321,0.5002911016202831,0.037537046127248834,0.1061180579576516,0.5911132132374679
275,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020415.jpg::gt:1,train,0,02,True,True,True,0.5098737058876904,0.8922000260003272,-0.38232632011263684,0.21817429637853109,-0.8213076884598065
276,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020415.jpg::gt:2,train,0,02,True,True,True,0.7785107379225791,0.7003209733001312,0.07818976462244781,0.08269847018956707,0.6940475633787934
281,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020424.jpg::gt:0,train,0,02,True,True,True,0.6321854065589574,0.7046493405633372,-0.07246393400437981,0.18227230274984488,-0.0046117081998805435
282,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020424.jpg::gt:1,train,0,02,True,True,True,0.48577088609173413,0.5077396229806512,-0.02196873688891706,0.14943373798527926,0.5767978535930799
283,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020424.jpg::gt:2,train,0,02,True,True,True,0.7058743014531524,0.5344626727345974,0.17141162871855523,0.39349348272805496,0.7520182087336241
288,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020434.jpg::gt:0,train,0,02,True,True,True,0.5746105073053053,1.0236124680676666,-0.4490019607623614,0.7695106842509616,-0.3318882544224495
289,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020434.jpg::gt:1,train,0,02,True,True,True,0.4408931803336781,0.47262294832088414,-0.03172976798720607,0.120679187160001,0.19086431193554582
