epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_lld,train/kd_ccl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_lld,val/kd_ccl,lr/pg0,lr/pg1,lr/pg2
189,50855.4,0.9302,0.44829,0.99494,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
190,51165.3,0.92709,0.44572,0.99368,2e-05,0.69066,0,0,0,0,0,0,0,0,0,0.0006445,0.0006445,0.0006445
191,51466.4,0.92522,0.4451,0.99383,2e-05,0.69082,0,0,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
192,51874,0.92458,0.44418,0.99328,2e-05,0.69028,0,0,0,0,0,0,0,0,0,0.0005455,0.0005455,0.0005455
193,52266.7,0.92376,0.444,0.9928,2e-05,0.69061,0,0,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
194,52768,0.92242,0.44291,0.99622,2e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0004465,0.0004465,0.0004465
195,53471.4,0.92113,0.44307,0.99091,2e-05,0.69093,0,0,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
196,54005.7,0.91895,0.43991,0.99184,2e-05,0.69059,0,0,0,0,0,0,0,0,0,0.0003475,0.0003475,0.0003475
197,54212.7,0.91964,0.44141,0.99173,2e-05,0.69035,0,0,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
198,54638.4,0.91407,0.43641,0.99188,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.0002485,0.0002485,0.0002485
199,55097.6,0.91534,0.43731,0.99035,2e-05,0.69062,0,0,0,0,0,0,0,0,0,0.000199,0.000199,0.000199
200,55297.7,0.91596,0.43769,0.9908,2e-05,0.69089,0.77127,0.73001,0.76488,0.54061,1.0848,0.55278,1.06418,0,0,0.0001495,0.0001495,0.0001495
