epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
88,2958.21,1.79994,1.00933,1.00135,0.64345,0.57249,0.59534,0.35486,1.69901,0.93417,0.9644,0.35486,0.00392337,0.00392337,0.00392337
89,2992.02,1.78713,1.01103,0.99711,0.64379,0.57289,0.59604,0.35571,1.69619,0.93223,0.96385,0.35571,0.003911,0.003911,0.003911
90,3024.69,1.78748,1.00528,0.99493,0.65067,0.5713,0.59805,0.35669,1.69311,0.92992,0.96311,0.35669,0.00389863,0.00389863,0.00389863
91,3057.59,1.7788,0.99649,0.99001,0.64636,0.57474,0.59849,0.35722,1.69015,0.92834,0.96241,0.35722,0.00388625,0.00388625,0.00388625
92,3090.79,1.78282,0.99772,0.99487,0.65026,0.57556,0.59992,0.35799,1.68758,0.9261,0.96168,0.35799,0.00387388,0.00387388,0.00387388
93,3123.99,1.76959,0.98576,0.99048,0.64861,0.57782,0.59998,0.3586,1.68527,0.92424,0.96125,0.3586,0.0038615,0.0038615,0.0038615
94,3156.81,1.77225,0.98676,0.99197,0.65073,0.57671,0.60076,0.35939,1.68354,0.92277,0.96076,0.35939,0.00384913,0.00384913,0.00384913
95,3189.93,1.76075,0.98059,0.98753,0.65384,0.57782,0.60222,0.36001,1.68142,0.92119,0.96025,0.36001,0.00383675,0.00383675,0.00383675
96,3223.75,1.76056,0.98486,0.98652,0.65728,0.5755,0.60281,0.36053,1.67887,0.91927,0.95969,0.36053,0.00382438,0.00382438,0.00382438
97,3256.19,1.7501,0.97573,0.98365,0.65634,0.57763,0.60352,0.36147,1.67579,0.91714,0.95892,0.36147,0.003812,0.003812,0.003812
98,3290.25,1.76406,0.98346,0.98896,0.65596,0.57906,0.60403,0.36184,1.6734,0.91562,0.95838,0.36184,0.00379963,0.00379963,0.00379963
99,3324.3,1.75634,0.97548,0.98822,0.6578,0.57956,0.60427,0.36208,1.67167,0.91397,0.95802,0.36208,0.00378725,0.00378725,0.00378725
100,3357.73,1.74846,0.9743,0.98697,0.66005,0.58045,0.60548,0.36276,1.66889,0.91213,0.95726,0.36276,0.00377488,0.00377488,0.00377488
101,3391.04,1.74565,0.97292,0.9832,0.66002,0.58078,0.60593,0.36292,1.6663,0.91016,0.95679,0.36292,0.0037625,0.0037625,0.0037625
102,3424.04,1.74089,0.96191,0.98028,0.66291,0.58134,0.60678,0.36355,1.66376,0.90832,0.95622,0.36355,0.00375013,0.00375013,0.00375013
103,3457.16,1.73266,0.95983,0.97934,0.66181,0.58089,0.60608,0.36414,1.66133,0.9065,0.95569,0.36414,0.00373775,0.00373775,0.00373775
104,3491.11,1.73372,0.96151,0.97487,0.66198,0.5832,0.60671,0.36463,1.65929,0.90485,0.95522,0.36463,0.00372537,0.00372537,0.00372537
105,3589.4,1.73136,0.95303,0.97645,0.65988,0.58358,0.60654,0.36496,1.65746,0.90295,0.95481,0.36496,0.003713,0.003713,0.003713
106,3689.34,1.71478,0.95154,0.97851,0.66026,0.58398,0.60761,0.36582,1.6558,0.90125,0.95421,0.36582,0.00370063,0.00370063,0.00370063
107,3789.11,1.72713,0.94879,0.97561,0.65736,0.58549,0.6083,0.36576,1.65417,0.89973,0.9537,0.36576,0.00368825,0.00368825,0.00368825
108,3876.38,1.7191,0.95088,0.97733,0.6584,0.58558,0.60866,0.36634,1.65192,0.89836,0.95322,0.36634,0.00367587,0.00367587,0.00367587
109,3976.79,1.72086,0.93862,0.97387,0.65714,0.58664,0.60893,0.36694,1.65089,0.89647,0.95273,0.36694,0.0036635,0.0036635,0.0036635
110,4074.86,1.70773,0.93853,0.97133,0.65884,0.58714,0.61017,0.36789,1.6483,0.89519,0.95215,0.36789,0.00365113,0.00365113,0.00365113
111,4168.58,1.70204,0.9364,0.97045,0.6573,0.58888,0.61124,0.36855,1.6461,0.89319,0.95168,0.36855,0.00363875,0.00363875,0.00363875
112,4266.2,1.70099,0.93436,0.97059,0.65967,0.58854,0.61219,0.3687,1.64404,0.89153,0.95132,0.3687,0.00362637,0.00362637,0.00362637
113,4360.5,1.695,0.92921,0.96847,0.65691,0.59001,0.6127,0.36896,1.64128,0.88955,0.95083,0.36896,0.003614,0.003614,0.003614
114,4450.57,1.68867,0.92514,0.96584,0.66052,0.58896,0.61321,0.36946,1.63901,0.88777,0.95034,0.36946,0.00360163,0.00360163,0.00360163
115,4548.11,1.67824,0.92255,0.96742,0.65922,0.59081,0.61459,0.37033,1.6369,0.88631,0.94974,0.37033,0.00358925,0.00358925,0.00358925
116,4643.73,1.692,0.92851,0.96846,0.65729,0.59348,0.6162,0.3714,1.63399,0.8842,0.94895,0.3714,0.00357688,0.00357688,0.00357688
117,4740.29,1.68632,0.92376,0.96858,0.65797,0.59407,0.61673,0.37198,1.63158,0.88253,0.9483,0.37198,0.0035645,0.0035645,0.0035645
118,4797.22,1.67999,0.92434,0.96439,0.65976,0.59496,0.61851,0.37324,1.62925,0.88059,0.94777,0.37324,0.00355212,0.00355212,0.00355212
119,4889.21,1.67358,0.91856,0.96179,0.65936,0.59565,0.61941,0.37407,1.62738,0.8789,0.94717,0.37407,0.00353975,0.00353975,0.00353975
120,4982.42,1.68224,0.91625,0.96438,0.66255,0.59341,0.61982,0.37478,1.6252,0.87685,0.94671,0.37478,0.00352737,0.00352737,0.00352737
121,5075.52,1.66763,0.90982,0.96001,0.66162,0.59474,0.62028,0.37519,1.62195,0.87444,0.94603,0.37519,0.003515,0.003515,0.003515
122,5169.67,1.66029,0.9051,0.96116,0.66305,0.59491,0.62129,0.37578,1.61964,0.87251,0.94553,0.37578,0.00350263,0.00350263,0.00350263
