200      7.06G      0.949     0.4893     0.9285        461        640: 20% ━━────────── 116/563 9.0it/s 12.8s<49.6s
[K    200/200      7.06G     0.9501     0.4949     0.9267        503        640: 51% ━━━━━━────── 291/563 7.6it/s 33.4s<36.0s
[K    200/200      7.06G     0.9501      0.495     0.9268        464        640: 51% ━━━━━━────── 292/563 8.2it/s 33.5s<33.1s
[K    200/200      7.06G     0.9502     0.4949     0.9267        620        640: 52% ━━━━━━────── 293/563 8.0it/s 33.6s<33.6s
[K    200/200      7.06G     0.9507     0.4952     0.9268        612        640: 52% ━━━━━━────── 294/563 7.8it/s 33.8s<34.7s
[K    200/200      7.06G     0.9505     0.4951     0.9267        408        640: 52% ━━━━━━────── 295/563 7.8it/s 33.9s<34.3s
[K    200/200      7.06G     0.9501      0.495     0.9267        407        640: 52% ━━━━━━────── 297/563 8.8it/s 34.1s<30.2s
[K    200/200      7.06G     0.9505     0.4952     0.9269        406        640: 53% ━━━━━━────── 299/563 9.3it/s 34.3s<28.4s
[K    200/200      7.06G     0.9505     0.4952     0.9269        582        640: 53% ━━━━━━────── 300/563 9.1it/s 34.4s<28.9s
[K    200/200      7.06G     0.9505     0.4952     0.9268        556        640: 53% ━━━━━━────── 301/563 9.1it/s 34.5s<28.9s
[K    200/200      7.06G     0.9504     0.4952     0.9267        487        640: 53% ━━━━━━────── 303/563 9.6it/s 34.7s<27.0s
[K    200/200      7.06G     0.9505     0.4953     0.9269        449        640: 54% ━━━━━━╸───── 305/563 9.7it/s 34.9s<26.5s
[K    200/200      7.06G     0.9506     0.4954     0.9269        582        640: 54% ━━━━━━╸───── 307/563 9.9it/s 35.1s<26.0s
[K    200/200      7.06G     0.9504     0.4952     0.9269        469        640: 54% ━━━━━━╸───── 309/563 9.8it/s 35.3s<26.0s
[K    200/200      7.06G     0.9506     0.4953     0.9269        601        640: 55% ━━━━━━╸───── 310/563 9.8it/s 35.4s<25.8s
[K    200/200      7.06G      0.951     0.4958      0.927        467        640: 55% ━━━━━━╸───── 311/563 9.4it/s 35.5s<26.8s
[K    200/200      7.06G     0.9511     0.4958     0.9271        562        640: 55% ━━━━━━╸───── 312/563 9.4it/s 35.6s<26.8s
[K    200/200      7.06G     0.9512      0.496     0.9271        477        640: 55% ━━━━━━╸───── 313/563 9.1it/s 35.7s<27.4s
[K    200/200      7.06G     0.9512      0.496      0.927        492        640: 55% ━━━━━━╸───── 315/563 9.7it/s 35.9s<25.6s
[K    200/200      7.06G     0.9512     0.4958     0.9269        437        640: 56% ━━━━━━╸───── 316/563 9.5it/s 36.0s<26.0s
[K    200/200      7.06G     0.9514     0.4959     0.9269        423        640: 56% ━━━━━━╸───── 317/563 9.5it/s 36.1s<25.9s
[K    200/200      7.06G     0.9514     0.4962     0.9269        485        640: 56% ━━━━━━╸───── 319/563 9.4it/s 36.4s<25.8s
[K    200/200      7.06G     0.9515     0.4962     0.9269        407        640: 57% ━━━━━━╸───── 321/563 9.3it/s 36.6s<26.0s
[K    200/200      7.06G     0.9519     0.4963      0.927        561        640: 57% ━━━━━━╸───── 323/563 9.4it/s 36.8s<25.6s
[K    200/200      7.06G     0.9519     0.4963     0.9271        459        640: 57% ━━━━━━╸───── 325/563 9.4it/s 37.0s<25.3s
[K    200/200      7.06G     0.9516     0.4962     0.9271        373        640: 57% ━━━━━━╸───── 326/563 9.4it/s 37.1s<25.1s
[K    200/200      7.06G     0.9513     0.4963      0.927        451        640: 58% ━━━━━━╸───── 327/563 9.3it/s 37.2s<25.5s
[K    200/200      7.06G     0.9515     0.4963     0.9271        635        640: 58% ━━━━━━━───── 329/563 9.3it/s 37.4s<25.3s
[K    200/200      7.06G     0.9515     0.4964     0.9272        435        640: 58% ━━━━━━━───── 330/563 9.2it/s 37.5s<25.4s
[K    200/200      7.06G     0.9516     0.4964     0.9272        416        640: 58% ━━━━━━━───── 331/563 8.9it/s 37.7s<26.0s
[K    200/200      7.06G     0.9518     0.4965     0.9273        569        640: 58% ━━━━━━━───── 332/563 9.0it/s 37.8s<25.7s
[K    200/200      7.06G     0.9517     0.4964     0.9273        449        640: 59% ━━━━━━━───── 333/563 8.6it/s 37.9s<26.7s
[K    200/200      7.06G     0.9514     0.4963     0.9271        536        640: 59% ━━━━━━━───── 334/563 8.5it/s 38.0s<26.8s
[K    200/200      7.06G      0.951     0.4961      0.927        600        640: 59% ━━━━━━━───── 335/563 8.2it/s 38.2s<27.8s
[K    200/200      7.06G     0.9511      0.496      0.927        586        640: 59% ━━━━━━━───── 337/563 8.9it/s 38.3s<25.5s
[K    200/200      7.06G     0.9509     0.4961     0.9269        717        640: 60% ━━━━━━━───── 338/563 8.8it/s 38.5s<25.4s
[K    200/200      7.06G     0.9512      0.496      0.927        361        640: 60% ━━━━━━━───── 339/563 8.5it/s 38.6s<26.4s
[K    200/200      7.06G     0.9511      0.496      0.927        418        640: 60% ━━━━━━━───── 340/563 8.9it/s 38.7s<24.9s
[K    200/200      7.06G     0.9511      0.496      0.927        559        640: 60% ━━━━━━━───── 341/563 8.7it/s 38.8s<25.6s
[K    200/200      7.06G     0.9513     0.4959      0.927        433        640: 60% ━━━━━━━───── 342/563 8.8it/s 38.9s<25.1s
[K    200/200      7.06G     0.9517      0.496      0.927        653        640: 60% ━━━━━━━───── 343/563 8.8it/s 39.0s<25.1s
[K    200/200      7.06G     0.9515     0.4961      0.927        412        640: 61% ━━━━━━━───── 344/563 9.1it/s 39.1s<24.1s
[K    200/200      7.06G     0.9521     0.4965      0.927        388        640: 61% ━━━━━━━───── 345/563 8.9it/s 39.3s<24.5s
[K    200/200      7.06G      0.952     0.4964      0.927        473        640: 61% ━━━━━━━───── 346/563 9.1it/s 39.4s<23.8s
[K    200/200      7.06G     0.9515     0.4961     0.9268        516        640: 61% ━━━━━━━───── 347/563 8.7it/s 39.5s<24.8s
[K    200/200      7.06G     0.9516     0.4961     0.9268        413        640: 61% ━━━━━━━───── 348/563 9.0it/s 39.6s<23.9s
[K    200/200      7.06G     0.9514     0.4959     0.9268        527        640: 61% ━━━━━━━───── 349/563 8.6it/s 39.7s<25.0s
