run,group_type,group,rgb_gt,d1_opportunity,base,selected,selected_per_rgb_gt,selected_per_base,teacher_ce_worse_count,teacher_ce_delta_mean,negative_logit_cosine_count
llvip_val,source_group,04,131,14,127,24,0.183206106870229,0.1889763779527559,0,-0.6983001256982485,0
llvip_val,source_group,07,103,11,70,16,0.1553398058252427,0.22857142857142856,0,-0.5832105055451393,0
llvip_val,source_group,12,109,26,93,42,0.3853211009174312,0.45161290322580644,0,-1.2621233945801145,0
llvip_val,source_group,25,73,15,63,18,0.2465753424657534,0.2857142857142857,0,-0.9871563712755839,0
llvip_val,brightness_proxy_bin,0,530,69,475,104,0.19622641509433963,0.21894736842105264,0,-0.8698707334697247,0
llvip_val,brightness_proxy_bin,1,107,17,78,26,0.24299065420560748,0.3333333333333333,0,-0.7956877545668528,0
llvip_val,brightness_proxy_bin,2,6,3,6,1,0.16666666666666666,0.16666666666666666,0,-1.7037625312805176,0
llvip_verified_train,class,0,2,0,0,0,0.0,,0,,0
llvip_verified_train,scale_bin,medium,2,0,0,0,0.0,,0,,0
llvip_verified_train,luminance_proxy,low,2,0,0,0,0.0,,0,,0
llvip_verified_train,source_group,05,2,0,0,0,0.0,,0,,0
llvip_verified_train,brightness_proxy_bin,0,2,0,0,0,0.0,,0,,0
