dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,teacher_unclamped_support_n,iou_advantage_mean,teacher_minus_native_ce_mean,teacher_ce_better_fraction,kl_t2_mean4_mean,cosine_mean,positive_cosine_fraction_fixed,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,lost_mass_t1_mean4_mean,lost_mass_t2_mean4_mean,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_max
llvip,train,n_iou_lt_070,22,4,-4,4,5.656854249492381,82,82,0.07616264658138155,-0.3709707966063976,0.7560975609756098,0.9891278860851183,0.5081321174495204,0.8902439024390244,23,20,0.8695652173913043,2,0.009445560646059297,0.012758151906373716,0.7807314066973758,3.4905698302386554
llvip,train,quality_gate070,22,4,-4,4,5.656854249492381,23,23,0.18458315673245038,-0.709245570416261,0.9130434782608695,1.3630675064837148,0.7478519665698251,1.0,23,20,0.8695652173913043,0,0.008153708864134211,0.01085368243352442,0.7249471911828581,2.8798610936903515
llvip,val,base,22,4,-4,4,5.656854249492381,548,535,-0.02557924646155563,-0.09661032714754929,0.45255474452554745,0.9350443420428155,0.3225718411579102,0.791970802919708,61,44,0.7213114754098361,0,0.008180376768921771,0.010562166737912342,0.6988940248696617,3.908534613004747
llvip,val,n_iou_lt_070,22,4,-4,4,5.656854249492381,199,191,0.07985801399835572,-0.5355993594591651,0.8190954773869347,1.4053945409359316,0.5356812999041316,0.9246231155778895,61,44,0.7213114754098361,0,0.010779272006513825,0.013293008995469646,0.87639322002532,3.908534613004747
llvip,val,quality_gate070,22,4,-4,4,5.656854249492381,61,59,0.15406645816620465,-0.8357496783507481,0.9180327868852459,1.7115783942156653,0.7079006525709258,0.9836065573770492,61,44,0.7213114754098361,0,0.010565048531692477,0.013109009558552667,0.912612186867347,3.778094252996084
llvip,train,base,23,-4,4,4,5.656854249492381,2728,2706,-0.12174257501338925,0.13830970236250345,0.09274193548387097,0.5434148698713922,0.07533508719855926,0.5608504398826979,23,12,0.5217391304347826,2,0.006921816056813308,0.00945991480067833,0.6109425847220024,3.9648336404708857
llvip,train,n_iou_lt_070,23,-4,4,4,5.656854249492381,82,82,0.05258894671592334,-0.35790801561169205,0.7682926829268293,1.018871927763084,0.4885056027106959,0.926829268292683,23,12,0.5217391304347826,2,0.008228438555609806,0.012448055343652951,0.6764262145460201,3.6535935096333105
llvip,train,quality_gate070,23,-4,4,4,5.656854249492381,23,23,0.11629444002235997,-0.6473848497647557,0.8695652173913043,1.3575368578358087,0.6627672473948024,1.0,23,12,0.5217391304347826,0,0.007608499437525297,0.011027212629427187,0.7294489499579481,3.173437594488803
llvip,val,base,23,-4,4,4,5.656854249492381,548,535,-0.03540527290149078,-0.08783508699481038,0.4708029197080292,1.1314669556611352,0.3524471709104269,0.822992700729927,61,52,0.8524590163934426,1,0.009248610373530136,0.011385050469691913,0.7605207377198787,3.9995123627402336
llvip,val,n_iou_lt_070,23,-4,4,4,5.656854249492381,199,194,0.07716600608904763,-0.5133615922793893,0.8241206030150754,1.6338299327904087,0.5430401696080586,0.949748743718593,61,52,0.8524590163934426,1,0.009183419620055209,0.011354714730265147,0.7435510093515929,3.9574673973459227
llvip,val,quality_gate070,23,-4,4,4,5.656854249492381,61,60,0.17316391420044955,-0.8792091758491716,0.9836065573770492,1.866564427928879,0.7396809796750317,1.0,61,52,0.8524590163934426,0,0.007386625661202216,0.00961537744801802,0.6801198411146384,3.7052618025197717
llvip,train,base,24,-4,-4,4,5.656854249492381,2728,2706,-0.11983909727911583,0.13218431080409496,0.09494134897360704,0.5095430520244033,0.08012960691700224,0.5817448680351907,23,14,0.6086956521739131,3,0.007548626848822839,0.010216839966479643,0.6564010577602686,3.9648336404708857
llvip,train,n_iou_lt_070,24,-4,-4,4,5.656854249492381,82,82,0.059966725404183,-0.3656443795208221,0.7560975609756098,0.9651483498424953,0.4827404314663845,0.9024390243902439,23,14,0.6086956521739131,3,0.010568587166755143,0.014288172826234326,0.8353025616627251,3.6535935096333105
llvip,train,quality_gate070,24,-4,-4,4,5.656854249492381,23,23,0.13278199743575533,-0.6739882060258298,0.9130434782608695,1.3066598009231696,0.6895628320590734,0.9565217391304348,23,14,0.6086956521739131,0,0.010201750548967908,0.013359108085285922,0.9575090156629827,3.173437594488803
llvip,val,base,24,-4,-4,4,5.656854249492381,548,535,-0.03416874839192915,-0.08230234382647648,0.4416058394160584,0.9817054687225324,0.3261498643207261,0.7828467153284672,61,47,0.7704918032786885,1,0.009548885780032114,0.011855776708737416,0.8027044241330328,3.9995123627402336
llvip,val,n_iou_lt_070,24,-4,-4,4,5.656854249492381,199,194,0.08241896121056388,-0.5307940508640054,0.8190954773869347,1.4213336842684463,0.5490818186564979,0.9396984924623115,61,47,0.7704918032786885,1,0.009836054593986511,0.012248737013245853,0.8233035400395161,3.9574673973459227
llvip,val,quality_gate070,24,-4,-4,4,5.656854249492381,61,60,0.17095241481336668,-0.839971289528553,0.9836065573770492,1.621181820439333,0.727874421019573,1.0,61,47,0.7704918032786885,0,0.009143911240340322,0.011764988282565586,0.809478535427523,3.7052618025197717
dronevehicle,train,base,0,0,0,0,0.0,15019,15019,-0.05171887879070436,0.16443143152784453,0.35561621945535654,0.5798744623938985,0.17825235721935231,0.6364604833877089,87,87,1.0,0,0.0,0.0,0.0,0.0
dronevehicle,train,n_iou_lt_070,0,0,0,0,0.0,366,366,0.13409494257639176,-0.39197921845858025,0.8005464480874317,0.9983726167417861,0.5688146945309906,0.9180327868852459,87,87,1.0,0,0.0,0.0,0.0,0.0
dronevehicle,train,quality_gate070,0,0,0,0,0.0,87,87,0.1870474760121233,-0.6285094076991627,1.0,1.1130040252747266,0.7557687775453243,1.0,87,87,1.0,0,0.0,0.0,0.0,0.0
dronevehicle,val,base,0,0,0,0,0.0,2821,2821,-0.034309176223082334,0.12560703499852452,0.39064161644806805,0.661981881783617,0.2084077871141649,0.6437433534207728,47,47,1.0,0,0.0,0.0,0.0,0.0
dronevehicle,val,n_iou_lt_070,0,0,0,0,0.0,229,229,0.1321348745717457,-0.4066026013565011,0.8034934497816594,0.9785878692321471,0.5676167271567276,0.9126637554585153,47,47,1.0,0,0.0,0.0,0.0,0.0
dronevehicle,val,quality_gate070,0,0,0,0,0.0,47,47,0.22356879855292305,-0.6774616111132783,0.9787234042553191,1.2140151098024805,0.7758989677796101,1.0,47,47,1.0,0,0.0,0.0,0.0,0.0
dronevehicle,train,base,1,1,0,1,1.0,15019,15017,-0.05933211131615805,0.16983910319150822,0.27438577801451497,0.6035599149218739,0.14929781479964913,0.6127571742459551,87,83,0.9540229885057471,3,0.0011180425431379843,0.0015050762105743118,0.06389406783142884,1.1842750683795487
dronevehicle,train,n_iou_lt_070,1,1,0,1,1.0,366,366,0.12695808571926676,-0.41062854261481146,0.8087431693989071,0.9650220819407458,0.5639150937511024,0.9180327868852459,87,83,0.9540229885057471,3,0.0018618715475065305,0.0023377515872439938,0.1175117229010083,0.9902068288775467
dronevehicle,train,quality_gate070,1,1,0,1,1.0,87,87,0.17570707689653633,-0.6118212688655095,0.9770114942528736,1.08069718538531,0.74663153489242,1.0,87,83,0.9540229885057471,0,0.0015845506866640506,0.002125329066715554,0.0887069914863781,0.7423579634941437
dronevehicle,val,base,1,1,0,1,1.0,2821,2820,-0.042140824348684096,0.13218689283687374,0.34065934065934067,0.6949214831317839,0.194505289107133,0.6370081531371854,47,45,0.9574468085106383,1,0.0011755719415896795,0.0015920447108237318,0.06670920742550097,0.9975083453444995
dronevehicle,val,n_iou_lt_070,1,1,0,1,1.0,229,229,0.12679298991519358,-0.4058921663648473,0.8122270742358079,0.9783098699372248,0.5719857922212221,0.9170305676855895,47,45,0.9574468085106383,1,0.0014464517443183633,0.0019736316069818302,0.09105983727245884,0.9259812659716431
dronevehicle,val,quality_gate070,1,1,0,1,1.0,47,47,0.21045029913896324,-0.6576781891180363,1.0,1.2067218194257092,0.7731612605720262,1.0,47,45,0.9574468085106383,0,0.0004988713526016445,0.0009880028774324795,0.03603176996534108,0.9259812659716431
dronevehicle,train,base,2,-1,0,1,1.0,15019,15018,-0.06126408576655555,0.17298273059092176,0.2708569145748718,0.613887958437937,0.15042584640088794,0.6160862906984487,87,84,0.9655172413793104,6,0.0013362098989290463,0.00170445758230413,0.07516021298871077,0.994690262915384
